Saturation,Layer_thickness,Roll_speed,Feed_powder_ratio,y
35,80,6,1,33.16
35,80,10,2,52.94
35,80,14,3,38.88
35,100,6,2,54.19
35,100,10,3,49.76
35,100,14,1,45.68
35,120,6,3,52.61
35,120,10,1,30.17
35,120,14,2,34.26
70,80,6,2,76.28
70,80,10,3,67.42
70,80,14,1,60.3
70,100,6,3,94.44
70,100,10,1,65.76
70,100,14,2,81.88
70,120,6,1,56.26
70,120,10,2,64.9
70,120,14,3,44.1
100,80,6,3,64.32
100,80,10,1,84.75
100,80,14,2,92.36
100,100,6,1,80.75
100,100,10,2,87.07
100,100,14,3,107.26
100,120,6,2,83.87
100,120,10,3,71.3
100,120,14,1,53.13
35,80,6,1,36.38
35,80,10,2,36.81
35,80,14,3,55.08
35,100,6,2,69.43
35,100,10,3,63.19
35,100,14,1,33.1
35,120,6,3,90.65
35,120,10,1,41
35,120,14,2,39.97
70,80,6,2,77.5
70,80,10,3,71.5
70,80,14,1,52.65
70,100,6,3,86.28
70,100,10,1,54.86
70,100,14,2,69.75
70,120,6,1,62
70,120,10,2,76.29
70,120,14,3,65.31
100,80,6,3,55.35
100,80,10,1,49.89
100,80,14,2,79.84
100,100,6,1,55.76
100,100,10,2,69.23
100,100,14,3,65.43
100,120,6,2,53.61
100,120,10,3,64.72
100,120,14,1,80.08
35,80,6,1,56.83
35,80,10,2,38.22
35,80,14,3,45.8
35,100,6,2,60.82
35,100,10,3,67.21
35,100,14,1,57.18
35,120,6,3,78.92
35,120,10,1,41.87
35,120,14,2,41.1
70,80,6,2,65.66
70,80,10,3,96.87
70,80,14,1,76.57
70,100,6,3,112.59
70,100,10,1,58.15
70,100,14,2,58.34
70,120,6,1,99.76
70,120,10,2,87.51
70,120,14,3,83.34
100,80,6,3,71.57
100,80,10,1,50.54
100,80,14,2,61.12
100,100,6,1,32.55
100,100,10,2,105.59
100,100,14,3,78.1
100,120,6,2,75.81
100,120,10,3,92.26
100,120,14,1,52.86
35,80,6,1,40.93
35,80,10,2,62.35
35,80,14,3,63.4
35,100,6,2,51.76
35,100,10,3,67.49
35,100,14,1,74.32
35,120,6,3,95.55
35,120,10,1,41.02
35,120,14,2,44.55
70,80,6,2,92.3
70,80,10,3,58.8
70,80,14,1,58.17
70,100,6,3,67.11
70,100,10,1,73.81
70,100,14,2,79.38
70,120,6,1,72.9
70,120,10,2,70.6
70,120,14,3,115.78
100,80,6,3,85.01
100,80,10,1,53.13
100,80,14,2,67.26
100,100,6,1,64.01
100,100,10,2,53.26
100,100,14,3,82.05
100,120,6,2,74.03
100,120,10,3,61.39
100,120,14,1,53.58
