Laser_power,Scanning_speed, Layer_thickness,Surface_roughness,Length,Length_dif,Width,Width_dif,Height,Height_dif
180,500,20,5.797,44.789,0.211,5.169,0.169,0.99,0.01
180,600,25,7.981,44.712,0.288,5.103,0.103,1.138,0.138
180,700,30,10.729,44.748,0.252,5.109,0.109,1.091,0.091
180,800,35,14.871,44.714,0.286,5.11,0.11,1.062,0.062
200,500,25,9.006,44.742,0.258,5.121,0.121,1.063,0.063
200,600,20,6.121,44.884,0.116,5.231,0.231,0.992,0.008
200,700,35,11.82,44.71,0.29,5.119,0.119,1.108,0.108
200,800,30,11.454,44.774,0.226,5.143,0.143,1.028,0.028
220,500,30,9.422,44.757,0.243,5.11,0.11,0.974,0.026
220,600,35,10.18,44.736,0.264,5.129,0.129,1.071,0.071
220,700,20,6.271,44.882,0.118,5.212,0.212,1.209,0.209
220,800,25,5.848,44.729,0.271,5.113,0.113,1.084,0.084
240,500,35,11.621,44.74,0.26,5.133,0.133,1,0
240,600,30,9.449,44.72,0.28,5.102,0.102,1.063,0.063
240,700,25,7.363,44.741,0.259,5.17,0.17,1,0
240,800,20,5.155,44.764,0.236,5.116,0.116,1.053,0.053
190,550,20,7.313,44.794,0.206,5.181,0.181,0.933,0.067
205,600,20,5.888,44.773,0.227,5.188,0.188,0.899,0.101
210,640,30,9.819,44.844,0.156,5.208,0.208,0.994,0.006
230,720,25,7.891,44.816,0.184,5.19,0.19,1.027,0.027
235,760,35,11.383,44.782,0.218,5.198,0.198,0.953,0.047
